"","Day_1","Day_10","Day_30","Day_60"
"22027",0,0,5,10
"22029",0,1,4,5
"22031",0,1,8,16
"22033",0,4,62,205
"22035",0,0,0,0
"22037",0,0,10,28
"22039",0,0,0,1
"22041",0,0,2,10
"22043",0,0,0,1
"22045",0,0,8,32
"22047",0,1,19,38
"22049",0,0,0,11
"22051",0,1,137,391
"22053",0,0,5,7
"22055",0,1,17,23
"22057",0,0,13,60
"22059",0,0,0,0
"22061",0,0,2,14
"22063",0,0,7,25
"22065",0,0,0,0
"22067",0,0,4,5
"22069",0,0,1,13
"22071",0,8,208,463
"22073",0,1,13,32
"22075",0,2,11,16
"22077",0,0,10,22
"22079",0,1,7,14
"22081",0,1,5,6
"22083",0,0,0,2
"22085",0,0,0,0
"22087",0,0,8,18
"22089",0,0,24,43
"22091",0,0,1,1
"22093",1,3,14,23
"22095",0,0,38,76
"22097",0,0,18,51
"22099",0,3,13,22
"22101",0,0,11,29
"22103",0,0,32,136
"22105",0,0,18,30
"22107",0,0,0,0
"22109",0,0,14,39
"22111",0,0,6,16
"22113",0,1,1,3
"22115",0,0,1,3
"22117",0,1,10,31
"22119",0,1,4,5
"22121",0,1,9,30
"22123",0,0,0,0
"22125",0,0,3,10
"22127",0,0,2,2
"23001",0,0,0,2
"23003",0,0,0,1
"23005",0,0,12,31
"23007",0,0,0,1
"23009",0,0,0,1
"23011",0,0,3,8
"23013",0,0,0,0
"23015",0,0,0,0
"23017",0,0,0,0
"23019",0,0,0,1
"23021",0,0,0,0
"23023",0,0,0,0
"23025",0,0,0,0
"23027",0,0,10,14
"23029",0,0,0,0
"23031",0,0,4,8
"24001",0,0,7,17
"24003",0,0,19,124
"24005",0,1,16,185
"24009",0,0,2,13
"24011",0,0,0,0
"24013",0,0,25,60
"24015",0,0,3,20
"24017",0,0,5,54
"24019",0,0,2,3
"24021",0,0,14,84
"24023",0,0,0,0
"24025",0,0,0,21
"24027",0,0,8,38
"24029",0,0,1,15
"24031",0,0,9,295
"24033",0,1,26,324
"24035",0,0,2,11
"24037",0,0,2,12
"24039",0,0,0,1
"24041",0,0,1,1
"24043",0,0,3,8
"24045",0,1,1,21
"24047",0,0,0,6
"24510",0,0,26,186
"25001",0,0,16,73
"25003",0,0,13,36
"25005",0,0,43,278
"25007",0,0,1,1
"25009",0,0,52,601
"25011",0,2,25,44
"25013",0,1,115,475
"25015",0,0,7,72
"25017",0,0,39,972
"25019",0,0,0,0
"25021",0,0,13,499
"25023",0,0,65,424
"25025",0,0,0,8
"25027",0,0,19,365
"26001",0,0,1,1
"26005",0,0,0,3
"26007",0,1,8,9
"26009",0,0,0,0
"26011",0,0,1,1
"26013",0,0,0,0
"26015",0,0,1,1
"26017",0,0,0,9
"26019",0,0,0,0
"26021",0,1,8,33
"26023",0,1,15,24
"26025",0,0,5,19
"26027",0,1,2,2
"26029",0,0,0,1
"26031",0,1,1,1
"26033",0,0,0,0
"26035",0,0,1,2
"26037",0,0,6,10
"26039",0,0,3,5
"26041",0,0,2,2
"26043",0,2,2,2
"26045",0,0,5,6
"26047",0,0,2,2
"26049",0,5,106,230
"26051",0,0,1,1
"26053",1,1,1,1
"26055",0,0,4,5
"26057",0,0,1,6
"26059",0,1,12,24
"26061",0,0,0,0
"26063",0,0,0,1
